,name,id,type,lat,lon,nodes,geometry,area,source
10,,897113009,way,34.1799399,36.4331475,"[8338567546, 8338567547, 8338567548, 9592981855, 8338567549, 8338567550, 8338567551, 8338567552, 8338567553, 8338567554, 8338567555, 8338567556, 8338567546]","POLYGON ((36.4331879 34.1804521, 36.4324506 34.1799335, 36.432522 34.1798324, 36.4324719 34.1797868, 36.4323938 34.1796238, 36.4327293 34.1794277, 36.4331306 34.1796477, 36.4334078 34.1794771, 36.4338399 34.1798216, 36.4337039 34.1799527, 36.4339012 34.1800824, 36.4336823 34.1804265, 36.4331879 34.1804521))",0.014821757582998455,OSM
11,,897113011,way,34.1781634,36.4430156,"[8338567576, 8338567577, 8338567578, 8338567579, 8338567580, 8338567581, 8338567582, 9665390564, 8338567583, 9665390563, 8338567584, 8338567585, 8338567586, 8338567576]","POLYGON ((36.4435385 34.1777278, 36.4434028 34.1774525, 36.443035 34.1775612, 36.4428642 34.1777532, 36.4422914 34.1786752, 36.4428103 34.1788744, 36.4430722 34.178805, 36.4432557 34.1787971, 36.4433485 34.178758, 36.4434005 34.1788182, 36.443556 34.1788508, 36.4437399 34.178782, 36.4433064 34.1778257, 36.4435385 34.1777278))",0.0172454711683539,OSM
12,,897113012,way,34.1871472,36.4156756,"[8338567587, 8338567588, 8338567589, 9641200444, 8338567590, 8338567591, 8338567592, 9641200443, 8338567593, 8338567594, 8338567595, 8338567596, 8338567587]","POLYGON ((36.4159345 34.1873136, 36.4160671 34.1871712, 36.4163846 34.1871311, 36.4164041 34.1869725, 36.4163562 34.1868659, 36.4160807 34.1867207, 36.4153467 34.1868046, 36.4151368 34.1869137, 36.4149545 34.1870534, 36.414947 34.1875672, 36.4151447 34.1875737, 36.4155981 34.1873983, 36.4159345 34.1873136))",0.011973688397713027,OSM
13,,897113013,way,34.1756706,36.412362,"[8338567597, 8338567598, 9585833067, 8338567599, 8338567600, 8338567597]","POLYGON ((36.4120786 34.1763091, 36.4115949 34.1758287, 36.4121246 34.1753732, 36.4125988 34.1750321, 36.4131292 34.1754943, 36.4120786 34.1763091))",0.013635443186210955,OSM
14,,897113014,way,34.1749036,36.410251,"[8338567601, 9587450711, 8338567602, 8338567603, 8338567604, 8338567605, 8338567601]","POLYGON ((36.4101056 34.175502, 36.4095108 34.1751291, 36.4095103 34.1750377, 36.4103672 34.1743052, 36.4109916 34.1748827, 36.410644 34.1751992, 36.4101056 34.175502))",0.01386700321322452,OSM
15,,897113015,way,34.1739686,36.4109027,"[8338567606, 9665408244, 9665408243, 8338567607, 9665408241, 8338567608, 9665408242, 8338567609, 9665408240, 8338567606]","POLYGON ((36.4105403 34.1744352, 36.4104328 34.1743402, 36.4104831 34.1742981, 36.4102583 34.1741202, 36.4104053 34.1739697, 36.411121 34.173502, 36.4114662 34.1737433, 36.4115471 34.1738286, 36.4107607 34.1743413, 36.4105403 34.1744352))",0.008313499954035299,OSM
16,,910765087,way,34.1952243,36.43074,"[8456935316, 9689878809, 9689878811, 9689935311, 8456935317, 9689865815, 8456935318, 9689878810, 8456935320, 9689935350, 8456935321, 8456935316]","POLYGON ((36.4310561 34.1961585, 36.4312796 34.1960153, 36.4313936 34.1958637, 36.4309457 34.1950983, 36.4306234 34.1942901, 36.4304844 34.1942952, 36.4303878 34.1943694, 36.4301871 34.1950975, 36.4300863 34.1956591, 36.4305541 34.1956795, 36.4307755 34.1957273, 36.4310561 34.1961585))",0.017150489267669194,OSM
17,,910765088,way,34.1923332,36.4335325,"[8456935322, 8456935323, 9587686710, 8456935324, 8456935325, 9587686709, 8456935326, 9656444611, 8456935327, 9656461992, 9656461991, 9656461981, 9656461985, 8456935328, 9656461949, 8456935329, 8456935322]","POLYGON ((36.4334536 34.1929182, 36.4331409 34.1926506, 36.4329734 34.1923195, 36.4329727 34.1917431, 36.433744 34.1917363, 36.4338545 34.1916672, 36.43401 34.1916575, 36.4340527 34.1921382, 36.4340902 34.1924605, 36.4340914 34.1926281, 36.4340922 34.1927309, 36.4340916 34.1927408, 36.4340915 34.1928078, 36.4340902 34.1929414, 36.4338864 34.1929958, 36.4337898 34.1930089, 36.4334536 34.1929182))",0.018345564683016416,OSM
18,,910765089,way,34.1925569,36.4397206,"[8456935330, 8456935331, 8456935332, 8456935333, 8456935334, 9587635178, 8456935335, 8456935336, 9587635179, 8456935337, 8456935338, 8456935339, 8456935340, 9585923074, 9585923077, 8456935342, 9585923076, 9585923075, 8456935341, 8456935330]","POLYGON ((36.439867 34.1911023, 36.4394017 34.1922716, 36.4387775 34.1921166, 36.4381167 34.1931901, 36.4381802 34.1933339, 36.4386034 34.1935497, 36.439304 34.1938137, 36.4392856 34.1938897, 36.439453 34.1939751, 36.4396062 34.1939187, 36.440094 34.1940116, 36.4403186 34.1935993, 36.4400898 34.1935285, 36.4407008 34.1926978, 36.4408537 34.1922474, 36.4412505 34.1923361, 36.4413245 34.1921076, 36.4409316 34.1919912, 36.44117 34.1913636, 36.439867 34.1911023))",0.07255508354411086,OSM
19,,910765098,way,34.1636076,36.412138,"[8456935449, 8456935450, 8456935451, 8456935452, 9587398505, 9587398506, 8456935453, 8456935454, 8456935455, 8456935456, 9587398507, 9587398508, 9587398509, 9587398512, 9587398511, 9587398510, 8456935457, 8456935458, 8456935459, 8456935460, 8456935449]","POLYGON ((36.4122937 34.1634302, 36.4130205 34.163773, 36.4133207 34.1631678, 36.4133155 34.1627989, 36.4131117 34.1626627, 36.4128153 34.1628491, 36.4127512 34.162991, 36.4121227 34.1629238, 36.4115924 34.1629799, 36.4111758 34.1633468, 36.4109552 34.1638156, 36.4113924 34.1641862, 36.4114876 34.164538, 36.4121434 34.1645524, 36.4121112 34.1641707, 36.4122862 34.1642328, 36.4123511 34.1641859, 36.4123743 34.1640201, 36.4117461 34.163825, 36.4120681 34.163674, 36.4122937 34.1634302))",0.03301426413866717,OSM
